comicID,characterID
65318,1009472
65318,1009629
62150,1010763
65310,1009338
65310,1010740
65275,1009262
65275,1009268
65275,1009378
65275,1009389
65275,1009215
61530,1009338
65329,1009268
62237,1009277
62237,1009351
62237,1009393
62237,1009554
62237,1009705
60890,1009175
60890,1009257
60890,1009362
60890,1009417
60890,1009504
60890,1009573
65274,1009268
65292,1009356
65292,1009610
65292,1009662
65291,1009215
65817,1009327
65817,1009554
65838,1009220
65838,1009268
65838,1009718
65362,1009351
65276,1009214
65276,1009268
65853,1009327
65330,1009262
65330,1009268
65330,1009378
65330,1009389
65330,1009215
65299,1009447
65319,1009187
60485,1009407
60485,1009480
65258,1009722
61093,1009407
61093,1009592
59512,1009664
65314,1009277
65314,1009393
65314,1009554
65314,1009705
65290,1009310
65290,1011428
65290,1009327
65334,1009356
65334,1009389
65334,1009610
60676,1009662
62234,1009610
65311,1009515
65259,1009610
65269,1009197
65269,1009214
65269,1009408
65269,1009580
65269,1009722
62208,1009268
62208,1010744
65272,1009262
65301,1009398
56395,1009303
65361,1009220
65361,1009685
65335,1009189
65335,1009389
65335,1009515
65282,1009477
65466,1009220
65466,1009368
65466,1009483
65466,1009535
65270,1009220
65289,1009554
60690,1009281
65261,1009610
46766,1009408
46766,1009499
46766,1009580
46766,1009717
45951,1009214
45951,1009220
45951,1009243
45951,1009277
45951,1009309
45951,1009337
45951,1011428
45951,1009546
45907,1009685
46483,1009610
46751,1009718
46944,1009313
43520,1009175
43520,1009184
43520,1009187
43520,1009282
43520,1009368
43520,1009466
46639,1009182
46639,1009512
46639,1009629
46410,1009351
46410,1009420
46410,1009718
46030,1009368
46030,1009466
46030,1009577
46030,1011223
46030,1009662
46030,1009707
45973,1009220
36421,1009368
46482,1009610
46425,1009718
46808,1009399
46808,1009535
46046,1009268
46046,1009610
46671,1009257
46671,1009267
46671,1009280
46671,1009310
46671,1009417
40501,1009262
43507,1009148
43507,1009268
43507,1009338
46100,1009539
47317,1009588
47343,1009220
47343,1009384
40501,1009262
43507,1009148
43507,1009268
43507,1009338
45950,1009214
45950,1009243
45950,1009277
45950,1009309
45950,1011428
45906,1009685
42689,1009313
42689,1009546
46209,1009368
46765,1009408
46765,1009440
46765,1011056
46765,1009499
46765,1009580
46765,1009717
45879,1009223
45879,1009685
46508,1009664
46045,1009268
46852,1009664
43332,1009156
43332,1009220
43332,1009546
43332,1009562
43332,1009664
43332,1009707
43332,1009718
43332,1009719
46446,1009351
36422,1009368
46637,1009182
46637,1009512
46637,1009629
46719,1009471
46719,1009718
45823,1009536
45823,1009313
45823,1009362
45823,1009465
45823,1009476
45823,1009554
45823,1009703
45823,1009718
45905,1009685
46764,1009408
46764,1009440
46764,1011056
46764,1009499
46764,1009580
46764,1009717
46481,1009276
46481,1009610
46881,1009652
42765,1009338
46208,1009368
36423,1009368
46807,1009399
46834,1009338
46834,1009407
47316,1009588
47316,1009664
43506,1009175
43506,1009351
43506,1009362
43506,1009368
43506,1009664
43333,1009156
43333,1009220
43333,1009337
43333,1009384
43333,1009471
43333,1009546
43333,1009562
43333,1009664
43333,1009707
43333,1009718
43333,1009719
43519,1009175
43519,1009184
43519,1009187
43519,1009282
43519,1009368
42691,1009313
42691,1009546
46044,1009268
46669,1009257
46669,1009280
46669,1009310
46669,1009417
46669,1009471
43304,1010763
46099,1009539
47395,1009718
45972,1009220
40494,1009262
45904,1009685
46408,1009351
46408,1009420
46408,1009718
46763,1009408
46763,1011056
46763,1009499
46763,1009580
46763,1009717
45949,1009214
45949,1009243
45949,1009257
45949,1009277
45949,1009309
46806,1009399
46806,1009718
42276,1009262
42276,1009515
46207,1009368
46029,1009239
46029,1009282
46029,1011490
46029,1009368
46029,1011223
46029,1009662
46480,1009610
46408,1009351
46408,1009420
46408,1009718
45904,1009685
45878,1009189
45878,1009685
43334,1009156
43334,1009384
43334,1009407
43334,1009480
43334,1009664
46098,1009539
46507,1009664
37407,1009685
46717,1009471
46717,1009718
46667,1009257
46667,1009310
37406,1009215
37406,1009685
37406,1009697
46479,1009610
46043,1009268
46222,1009368
46880,1009652
43475,1009465
43475,1009554
46832,1009338
46138,1010763
42695,1009313
42695,1009546
43305,1010763
43305,1010743
43305,1009368
43305,1010744
37405,1009215
37405,1009685
47145,1009610
45821,1009175
45821,1009257
45821,1009267
45821,1009313
45821,1009343
45821,1009362
45821,1009327
45821,1009472
45821,1009476
45821,1009554
45821,1009555
45821,1009718
46805,1009399
46226,1009588
47073,1009539
47073,1009685
46635,1009512
46635,1009629
46832,1009338
46762,1009408
46762,1009440
46762,1009499
46762,1009580
46762,1009717
46042,1009268
46028,1009239
46028,1009262
46028,1009282
46028,1011490
46028,1009368
46028,1009577
46028,1011223
46028,1009610
46028,1009662
46478,1009610
